iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,FISH,3466.9999997131526,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,27,198032,10
testing,jump,5517.35999999987,tangram,far,E1.jpg,C2.jpg,survey-text,54,575986,21
testing,NA,4314.999999944121,NA,NA,NA,NA,html-button-response,28,202851,10
testing,BEAR,4211.00000012666,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,29,207569,10
testing,BIRD,3833.9999997988343,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,30,211914,10
testing,T SHIRT,4239.000000059605,familiar,far,poloshirt.jpg,dress.jpg,survey-text,31,216673,10
testing,DOG,3211.00000012666,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,32,220391,10
testing,CANDY,3532.999999821186,familiar,far,mnms.jpg,pretzels.jpg,survey-text,33,224432,10
testing,FISH,3259.000000078231,familiar,far,goldfish.jpg,iguana.jpg,survey-text,34,228208,10
testing,TABLE,3875,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,35,232591,10
testing,CAR,2636.999999638647,familiar,far,sedan.jpg,firetruck.jpg,survey-text,36,235736,10
testing,NA,3013.000000268221,NA,NA,NA,NA,html-button-response,37,239251,10
testing,STANDING PERSON,6174.9999998137355,tangram,far,K1.jpg,V1.jpg,survey-text,38,245935,10
testing,RUNNING PERSON,7425.000000279397,tangram,far,F1.jpg,C1.jpg,survey-text,39,253873,10
testing,DANCING PERON,6478.000000119209,tangram,far,A1.jpg,D1.jpg,survey-text,40,260861,10
testing,WALKING PERSON,10385.999999940395,tangram,far,B1.jpg,O1.jpg,survey-text,41,271754,10
testing,MAN,7548.999999649823,tangram,far,I1.jpg,R1.jpg,survey-text,42,279809,10
testing,SITTING PERSON,8811.999999918044,tangram,far,E1.jpg,C2.jpg,survey-text,43,289143,10
testing,SITTING WOMAN,4753.000000026077,tangram,far,G1.jpg,N1.jpg,survey-text,44,294402,10
testing,SITTING PERSON,12203.999999910593,tangram,far,H1.jpg,A2.jpg,survey-text,45,307111,10
testing,NA,2822.999999858439,NA,NA,NA,NA,html-button-response,46,310437,10
testing,SITTING WOMAN,6879.00000018999,tangram,close,G1.jpg,M1.jpg,survey-text,47,317821,10
testing,SITTING MAN,4182.000000029802,tangram,close,E1.jpg,F1.jpg,survey-text,48,322511,10
testing,RUNNING ONE,6336.999999824911,tangram,close,A1.jpg,A2.jpg,survey-text,49,329358,10
testing,SITTING ONE,4583.000000100583,tangram,close,H1.jpg,Y1.jpg,survey-text,50,334449,10
testing,RUNNING ONE,5496.999999973923,tangram,close,F1.jpg,W1.jpg,survey-text,51,340449,10
testing,PERSON,8472.000000067055,tangram,close,I1.jpg,J1.jpg,survey-text,52,349427,10
testing,STANDING PERSON,6098.000000230968,tangram,close,K1.jpg,T1.jpg,survey-text,53,356031,10
testing,WALKING PERSON,5255.999999586493,tangram,close,B1.jpg,P1.jpg,survey-text,54,361788,10
testing,NA,12946.484999999939,NA,NA,NA,NA,html-button-response,0,12952,14
testing,NA,4221.435000000383,NA,NA,NA,NA,html-button-response,1,18191,14
testing,candy,10141.9649999998,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,2,28858,14
testing,bear,9782.45500000003,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,3,39159,14
testing,dinning,12363.85000000018,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,4,52040,14
testing,swimmer,12005.720000000103,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,5,64568,14
testing,travel,13802.134999999893,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,6,78881,14
testing,protection,7169.080000000118,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,7,86576,14
testing,flyer,24276.980000000083,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,8,111368,14
testing,clothes,5436.65499999997,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,9,117331,14
testing,NA,4444.75499999999,NA,NA,NA,NA,html-button-response,10,122294,14
testing,bend,14733.88999999997,tangram,close,I1.jpg,J1.jpg,survey-text,11,137543,14
